"Participant_ID","Sex","Age","Handedness","Color_blindness","part","rt","response","correct","coherent_direction","match","association","difficulty","dot_color_after"
25,"女",20,"右","都不是","match_RDK","1215","j",1,0,"no","self","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","2062","j",1,0,"no","other","","[""hsla(225, 50%, 50%, 70%)"",""hsla(0, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1179","f",1,0,"yes","other","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1434","j",1,0,"no","self","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1103","f",1,0,"yes","self","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1281","j",1,0,"no","other","","[""hsla(225, 50%, 50%, 70%)"",""hsla(0, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","941","f",1,0,"yes","other","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1862","j",1,0,"no","other","","[""hsla(225, 50%, 50%, 70%)"",""hsla(0, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","2123","f",1,0,"yes","other","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","932","j",1,0,"no","self","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","849","f",1,0,"yes","self","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","987","f",1,0,"yes","self","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","2210","f",1,0,"yes","other","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","841","j",1,0,"no","self","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1464","j",1,0,"no","other","","[""hsla(225, 50%, 50%, 70%)"",""hsla(0, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1483","f",1,0,"yes","self","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1710","j",1,0,"no","other","","[""hsla(225, 50%, 50%, 70%)"",""hsla(0, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","1610","j",1,0,"no","self","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
25,"女",20,"右","都不是","match_RDK","2472","f",1,0,"yes","other","","[""hsla(0, 50%, 50%, 70%)"",""hsla(225, 50%, 50%, 70%)""]"
