"subj_idx","acc","rt","association","difficulty","isMatch","group"
"11",0.583333333333333,2303.29166666667,"self","4","mismatch","motion"
"12",0.545454545454545,2137.68181818182,"other","1","match","motion"
"12",0.6,1957.15,"other","1","mismatch","motion"
"12",0.636363636363636,2081.77272727273,"self","1","match","motion"
"12",0.363636363636364,2185.72727272727,"self","1","mismatch","motion"
"12",0.619047619047619,1746.47619047619,"other","2","match","motion"
"12",0.619047619047619,2174.33333333333,"other","2","mismatch","motion"
"12",0.454545454545455,2012.04545454545,"self","2","match","motion"
"12",0.363636363636364,2175.40909090909,"self","2","mismatch","motion"
"12",0.565217391304348,2094.26086956522,"other","3","match","motion"
"12",0.681818181818182,1783.04545454545,"other","3","mismatch","motion"
"12",0.636363636363636,2206.40909090909,"self","3","match","motion"
"12",0.565217391304348,2142.91304347826,"self","3","mismatch","motion"
"12",0.409090909090909,1964.72727272727,"other","4","match","motion"
"12",0.681818181818182,2157.68181818182,"other","4","mismatch","motion"
"12",0.5,2163.77272727273,"self","4","match","motion"
"12",0.409090909090909,2156.13636363636,"self","4","mismatch","motion"
"13",0.916666666666667,1578.33333333333,"other","1","match","motion"
"13",0.875,1486.45833333333,"other","1","mismatch","motion"
"13",0.791666666666667,1628,"self","1","match","motion"
"13",0.782608695652174,1614.30434782609,"self","1","mismatch","motion"
"13",0.958333333333333,1653.91666666667,"other","2","match","motion"
"13",0.708333333333333,1707.5,"other","2","mismatch","motion"
"13",0.666666666666667,1992.625,"self","2","match","motion"
"13",0.652173913043478,1853.52173913043,"self","2","mismatch","motion"
"13",0.833333333333333,1539.75,"other","3","match","motion"
"13",0.666666666666667,1870.20833333333,"other","3","mismatch","motion"
"13",0.875,1651.29166666667,"self","3","match","motion"
"13",0.666666666666667,1745,"self","3","mismatch","motion"
"13",0.739130434782609,1682.65217391304,"other","4","match","motion"
"13",0.8,1940.45,"other","4","mismatch","motion"
"13",0.478260869565217,2020.47826086957,"self","4","match","motion"
"13",0.391304347826087,1994.17391304348,"self","4","mismatch","motion"
"14",0.791666666666667,1879.5,"other","1","match","motion"
"14",0.875,1622.33333333333,"other","1","mismatch","motion"
"14",0.833333333333333,1749.25,"self","1","match","motion"
"14",0.782608695652174,1846.69565217391,"self","1","mismatch","motion"
"14",0.833333333333333,1970.54166666667,"other","2","match","motion"
"14",0.916666666666667,1737.16666666667,"other","2","mismatch","motion"
"14",0.727272727272727,1730.13636363636,"self","2","match","motion"
"14",0.875,1759.625,"self","2","mismatch","motion"
"14",0.666666666666667,1728.41666666667,"other","3","match","motion"
"14",0.708333333333333,1824.54166666667,"other","3","mismatch","motion"
"14",0.583333333333333,1925.08333333333,"self","3","match","motion"
"14",0.833333333333333,1791.83333333333,"self","3","mismatch","motion"
"14",0.521739130434783,1937.34782608696,"other","4","match","motion"
"14",0.625,2065.625,"other","4","mismatch","motion"
"14",0.347826086956522,1945.47826086957,"self","4","match","motion"
"14",0.565217391304348,2062.08695652174,"self","4","mismatch","motion"
"15",0.833333333333333,1434.91666666667,"other","1","match","motion"
"15",0.541666666666667,1468.83333333333,"other","1","mismatch","motion"
"15",0.541666666666667,1564.83333333333,"self","1","match","motion"
"15",0.5,1560.45833333333,"self","1","mismatch","motion"
"15",0.708333333333333,1400.25,"other","2","match","motion"
"15",0.708333333333333,1321.54166666667,"other","2","mismatch","motion"
"15",0.458333333333333,1634.625,"self","2","match","motion"
"15",0.5,1421.91666666667,"self","2","mismatch","motion"
"15",0.727272727272727,1430.22727272727,"other","3","match","motion"
"15",0.5,1489.58333333333,"other","3","mismatch","motion"
"15",0.5,1481.41666666667,"self","3","match","motion"
"15",0.5,1516.125,"self","3","mismatch","motion"
"15",0.666666666666667,1436.41666666667,"other","4","match","motion"
"15",0.625,1574.04166666667,"other","4","mismatch","motion"
"15",0.541666666666667,1529.625,"self","4","match","motion"
"15",0.5,1388.54166666667,"self","4","mismatch","motion"
