"subj_idx","part","difficulty","association","rt","acc","group"
11,"match_RDK",4,"self",2266.22916666667,0.5625,"motion"
12,"RDK",1,"other",642.916666666667,0.458333333333333,"motion"
12,"RDK",1,"self",741.583333333333,0.75,"motion"
12,"RDK",2,"other",670.875,0.708333333333333,"motion"
12,"RDK",2,"self",693.125,0.625,"motion"
12,"RDK",3,"other",714.5,0.708333333333333,"motion"
12,"RDK",3,"self",647.375,0.708333333333333,"motion"
12,"RDK",4,"other",690.291666666667,0.625,"motion"
12,"RDK",4,"self",747.416666666667,0.333333333333333,"motion"
12,"match_RDK",1,"other",2051.71428571429,0.571428571428571,"motion"
12,"match_RDK",1,"self",2133.75,0.5,"motion"
12,"match_RDK",2,"other",1960.40476190476,0.619047619047619,"motion"
12,"match_RDK",2,"self",2093.72727272727,0.409090909090909,"motion"
12,"match_RDK",3,"other",1942.11111111111,0.622222222222222,"motion"
12,"match_RDK",3,"self",2173.95555555556,0.6,"motion"
12,"match_RDK",4,"other",2061.20454545455,0.545454545454545,"motion"
12,"match_RDK",4,"self",2159.95454545455,0.454545454545455,"motion"
13,"RDK",1,"other",673.833333333333,0.75,"motion"
13,"RDK",1,"self",706.166666666667,0.833333333333333,"motion"
13,"RDK",2,"other",690.608695652174,0.782608695652174,"motion"
13,"RDK",2,"self",744,0.5,"motion"
13,"RDK",3,"other",696.041666666667,0.833333333333333,"motion"
13,"RDK",3,"self",717.291666666667,0.666666666666667,"motion"
13,"RDK",4,"other",741.958333333333,0.583333333333333,"motion"
13,"RDK",4,"self",817.708333333333,0.541666666666667,"motion"
13,"match_RDK",1,"other",1532.39583333333,0.895833333333333,"motion"
13,"match_RDK",1,"self",1621.29787234043,0.787234042553192,"motion"
13,"match_RDK",2,"other",1680.70833333333,0.833333333333333,"motion"
13,"match_RDK",2,"self",1924.55319148936,0.659574468085106,"motion"
13,"match_RDK",3,"other",1704.97916666667,0.75,"motion"
13,"match_RDK",3,"self",1698.14583333333,0.770833333333333,"motion"
13,"match_RDK",4,"other",1802.55813953488,0.767441860465116,"motion"
13,"match_RDK",4,"self",2007.32608695652,0.434782608695652,"motion"
14,"RDK",1,"other",827.5,0.75,"motion"
14,"RDK",1,"self",665.666666666667,0.875,"motion"
14,"RDK",2,"other",840.916666666667,0.75,"motion"
14,"RDK",2,"self",769.791666666667,0.75,"motion"
14,"RDK",3,"other",861.375,0.75,"motion"
14,"RDK",3,"self",864.708333333333,0.416666666666667,"motion"
14,"RDK",4,"other",907.416666666667,0.625,"motion"
14,"RDK",4,"self",911.875,0.416666666666667,"motion"
14,"match_RDK",1,"other",1750.91666666667,0.833333333333333,"motion"
14,"match_RDK",1,"self",1796.93617021277,0.808510638297872,"motion"
14,"match_RDK",2,"other",1853.85416666667,0.875,"motion"
14,"match_RDK",2,"self",1745.52173913043,0.804347826086957,"motion"
14,"match_RDK",3,"other",1776.47916666667,0.6875,"motion"
14,"match_RDK",3,"self",1858.45833333333,0.708333333333333,"motion"
14,"match_RDK",4,"other",2002.85106382979,0.574468085106383,"motion"
14,"match_RDK",4,"self",2003.78260869565,0.456521739130435,"motion"
15,"RDK",1,"other",718.875,0.5,"motion"
15,"RDK",1,"self",758.041666666667,0.416666666666667,"motion"
15,"RDK",2,"other",729.541666666667,0.458333333333333,"motion"
15,"RDK",2,"self",717.916666666667,0.416666666666667,"motion"
15,"RDK",3,"other",679.791666666667,0.583333333333333,"motion"
15,"RDK",3,"self",735.041666666667,0.666666666666667,"motion"
15,"RDK",4,"other",743,0.375,"motion"
15,"RDK",4,"self",762.541666666667,0.625,"motion"
15,"match_RDK",1,"other",1451.875,0.6875,"motion"
15,"match_RDK",1,"self",1562.64583333333,0.520833333333333,"motion"
15,"match_RDK",2,"other",1360.89583333333,0.708333333333333,"motion"
15,"match_RDK",2,"self",1528.27083333333,0.479166666666667,"motion"
15,"match_RDK",3,"other",1461.19565217391,0.608695652173913,"motion"
15,"match_RDK",3,"self",1498.77083333333,0.5,"motion"
15,"match_RDK",4,"other",1505.22916666667,0.645833333333333,"motion"
15,"match_RDK",4,"self",1459.08333333333,0.520833333333333,"motion"
