"subj_id","Sex","Age","Handedness","Color_blindness","part","rt","response","correct","coherent_direction","coherence","isMatch","association","difficulty","dot_color_final","target_color_proportion"
"9","女",23,"右","都不是","match_RDK","1191","f",1,180,0.08,"match","other","2","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1926","j",1,180,0.03,"mismatch","other","4","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2936","f",1,180,0.03,"match","other","3","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1632","f",1,180,0.11,"match","other","1","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1375","f",1,0,0.11,"match","self","1","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1957","j",1,180,0.11,"mismatch","other","1","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1414","f",1,0,0.03,"match","self","3","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1258","f",1,0,0.11,"match","self","1","[""white""]",0
"9","女",23,"右","都不是","match_RDK","-1","",0,0,0.03,"match","self","4","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2300","j",1,180,0.08,"mismatch","other","2","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1263","j",1,0,0.11,"mismatch","self","1","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1578","j",1,180,0.11,"mismatch","other","1","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2123","f",0,0,0.08,"mismatch","self","2","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2371","j",0,180,0.03,"match","other","3","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1235","f",1,180,0.11,"match","other","1","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2081","f",1,0,0.03,"match","self","3","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1241","f",1,180,0.08,"match","other","2","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2822","j",1,0,0.03,"mismatch","self","3","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1796","f",0,180,0.03,"mismatch","other","3","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1370","f",1,0,0.08,"match","self","2","[""white""]",0
"9","女",23,"右","都不是","match_RDK","-1","",0,180,0.03,"mismatch","other","4","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2327","j",1,0,0.03,"mismatch","self","4","[""white""]",0
"9","女",23,"右","都不是","match_RDK","2970","f",1,180,0.03,"match","other","4","[""white""]",0
"9","女",23,"右","都不是","match_RDK","1504","j",1,0,0.11,"mismatch","self","1","[""white""]",0
