"success","rt","part","trial_type","trial_index","time_elapsed","internal_node_id","response","stimulus","correct","choices","correct_choice","trial_duration","response_ends_trial","number_of_apertures","number_of_dots","coherent_direction","coherence","opposite_coherence","dot_radius","dot_side_length","dot_life","move_distance","aperture_width","aperture_height","dot_color","dot_color_final","color_change_delay","target_color_proportion","motion_change_delay","dot_shape","background_color","RDK_type","aperture_type","reinsert_type","frame_rate","frame_rate_array","number_of_frames","aperture_center_x","aperture_center_y","fixation_cross","fixation_cross_width","fixation_cross_height","fixation_cross_color","fixation_cross_thickness","border","border_thickness","border_color","canvas_width","canvas_height","task","correct_responce","revs","correctNum","totalTrials","proportionColor","proportionMotion","data_label"
"","null","fixation","html-keyboard-response","1413","1551611","0.0-0.0-2.0-4.0-1.8-0.8-0.8-0.213","null","<p style='font-size: 48px; color: white'>+</p >","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1362","motion_formal","rdk","1414","1552975","0.0-0.0-2.0-4.0-1.8-0.8-0.8-1.213","arrowright","","true","[""ArrowLeft"",""ArrowRight""]","ArrowRight","3000","true","1","100","0","0.04700000000000004","0","5.7","1","-1","3","600","600","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]","[""white""]","0","0","8.84453245098931","circle","black","3","2","2","16.5609756097561","[2,15,18,16,17,17,17,16,17,18,16,16,17,16,17,17,17,17,17,17,17,16,17,17,16,17,17,17,16,17,17,17,17,17,16,18,16,17,17,16,17,17,16,17,18,17,17,16,16,17,17,17,16,17,17,16,18,16,17,17,16,18,16,17,17,17,16,17,17,17,16,17,17,18,15,17,18,15,16,17,18,15]","82","674","364.5","false","20","20","black","1","false","1","1","1398","874","","ArrowRight","","","","","","staircase_motion"
"","null","fixation","html-keyboard-response","1415","1553999","0.0-0.0-2.0-4.0-1.8-0.8-0.8-0.214","null","<p style='font-size: 48px; color: white'>+</p >","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","694","motion_formal","rdk","1416","1554694","0.0-0.0-2.0-4.0-1.8-0.8-0.8-1.214","arrowright","","false","[""ArrowLeft"",""ArrowRight""]","ArrowLeft","3000","true","1","100","180","0.04700000000000004","0","5.7","1","-1","3","600","600","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]","[""white""]","0","0","9.162926517404433","circle","black","3","2","2","16.428571428571427","[4,17,17,16,17,17,17,17,17,16,16,16,17,17,17,17,16,17,17,17,17,17,16,17,17,17,17,17,17,17,16,17,16,17,16,16,17,17,17,16,17,17]","42","674","364.5","false","20","20","black","1","false","1","1","1398","874","","ArrowLeft","","","","","","staircase_motion"
"","null","fixation","html-keyboard-response","1417","1555705","0.0-0.0-2.0-4.0-1.8-0.8-0.8-0.215","null","<p style='font-size: 48px; color: white'>+</p >","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1329","motion_formal","rdk","1418","1557035","0.0-0.0-2.0-4.0-1.8-0.8-0.8-1.215","arrowright","","true","[""ArrowLeft"",""ArrowRight""]","ArrowRight","3000","true","1","100","0","0.04700000000000004","0","5.7","1","-1","3","600","600","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]","[""white""]","0","0","9.266770898170554","circle","black","3","2","2","16.670886075949365","[14,16,17,17,17,16,17,16,17,17,17,17,17,17,17,16,17,17,17,18,16,17,17,17,17,17,17,17,16,16,17,16,17,16,17,17,16,18,16,17,17,17,17,16,17,16,17,16,16,16,17,17,17,17,16,17,17,16,17,17,18,16,16,17,16,17,17,25,8,25,8,18,23,9,17,24,9,17,16]","79","674","364.5","false","20","20","black","1","false","1","1","1398","874","","ArrowRight","","","","","","staircase_motion"
"","null","","html-keyboard-response","1419","1559559","0.0-0.0-2.0-4.0-1.8-0.8-1.8","null","<p style='font-size: 35px; color: white'>您的正确率为： 33% 。平均反应时为：1106毫秒。</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","null","fixation","html-keyboard-response","1420","1560069","0.0-0.0-2.0-4.0-1.9-0.9-0.9-0.216","null","<p style='font-size: 48px; color: white'>+</p >","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1489","motion_formal","rdk","1421","1561559","0.0-0.0-2.0-4.0-1.9-0.9-0.9-1.216","arrowleft","","false","[""ArrowLeft"",""ArrowRight""]","ArrowRight","3000","true","1","100","0","0.07100000000000005","0","5.7","1","-1","3","600","600","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]","[""white""]","0","0","10.068203825651054","circle","black","3","2","2","16.775280898876403","[15,17,17,17,17,17,17,17,17,17,17,16,17,17,17,18,16,16,18,16,17,17,17,16,17,17,16,16,18,16,17,17,16,17,17,16,18,17,16,17,16,17,17,17,17,16,17,17,16,17,17,17,17,15,18,16,17,18,16,16,17,16,18,16,17,17,21,11,17,16,17,20,13,17,17,17,17,17,18,19,14,17,17,17,17,17,17,20,14]","89","674","364.5","false","20","20","black","1","false","1","1","1398","874","","ArrowRight","","","","","","staircase_motion"
"","null","fixation","html-keyboard-response","1422","1562567","0.0-0.0-2.0-4.0-1.9-0.9-0.9-0.217","null","<p style='font-size: 48px; color: white'>+</p >","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
