"success","rt","part","trial_type","trial_index","time_elapsed","internal_node_id","response","stimulus","correct","choices","correct_choice","trial_duration","response_ends_trial","number_of_apertures","number_of_dots","coherent_direction","coherence","opposite_coherence","dot_radius","dot_side_length","dot_life","move_distance","aperture_width","aperture_height","dot_color","dot_color_final","color_change_delay","target_color_proportion","motion_change_delay","dot_shape","background_color","RDK_type","aperture_type","reinsert_type","frame_rate","frame_rate_array","number_of_frames","aperture_center_x","aperture_center_y","fixation_cross","fixation_cross_width","fixation_cross_height","fixation_cross_color","fixation_cross_thickness","border","border_thickness","border_color","canvas_width","canvas_height","task","correct_responce","revs","correctNum","totalTrials","proportionColor","proportionMotion","data_label"
"","1140","color_pract","rdk","10","384874","0.0-0.0-2.0-1.0-0.0-0.0-1.2","k","","false","[""d"",""k""]","d","3000","true","1","100","0","0","0","5.7","1","-1","3","600","600","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]","11.066915118055558","0.64","0","circle","black","3","2","2","8.348148148148148","[7,8,8,8,9,8,8,8,8,9,8,9,8,9,8,8,12,5,7,9,8,8,9,9,8,8,8,9,8,8,8,8,8,9,8,8,8,8,9,9,9,8,9,8,9,9,8,8,9,9,8,9,8,8,9,7,9,8,9,8,9,8,10,6,9,9,8,9,8,9,8,8,9,9,7,9,8,9,8,9,8,9,8,9,8,9,8,8,8,8,8,8,8,9,8,9,8,8,8,8,9,8,9,8,9,8,8,8,8,9,8,8,9,8,9,8,9,8,9,9,8,8,9,8,8,9,8,9,8,9,8,8,8,9,8]","135","776","400","false","20","20","black","1","false","1","1","1552","970","rdk","d","","","","0.64","0.24",""
"","null","","html-keyboard-response","11","385376","0.0-0.0-2.0-1.0-0.0-0.0-2.2","null","<p style='font-size: 60px; color: red'>错误!</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","null","fixation","html-keyboard-response","12","385877","0.0-0.0-2.0-1.0-0.0-0.0-0.3","null","<p style='font-size: 48px; color: white'>+</p >","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","989","color_pract","rdk","13","386866","0.0-0.0-2.0-1.0-0.0-0.0-1.3","k","","true","[""d"",""k""]","k","3000","true","1","100","0","0","0","5.7","1","-1","3","600","600","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]","[""hsl(225, 50%, 50%)"",""hsl(0, 50%, 50%)""]","11.066915118055558","0.66","0","circle","black","3","2","2","8.252100840336135","[2,13,4,9,8,9,9,9,8,8,8,9,8,8,8,8,9,8,8,8,9,8,9,8,8,9,8,8,8,8,9,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,9,8,9,9,8,8,8,9,8,8,9,8,9,9,8,9,8,8,8,8,8,8,8,9,8,9,8,8,9,8,8,8,9,8,8,9,8,8,9,8,8,8,9,9,8,8,8,8,9,8,8,8,9,8,9,8,9,8,8,9,8,9,9,8,9,8,8,8,8,8,8,8]","119","776","400","false","20","20","black","1","false","1","1","1552","970","rdk","k","","","","0.66","0.24",""
"","null","","html-keyboard-response","14","387367","0.0-0.0-2.0-1.0-0.0-0.0-2.3","null","<p style='font-size: 60px; color: green'>正确!</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","null","fixation","html-keyboard-response","15","387868","0.0-0.0-2.0-1.0-0.0-0.0-0.4","null","<p style='font-size: 48px; color: white'>+</p >","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2485","color_pract","rdk","16","390354","0.0-0.0-2.0-1.0-0.0-0.0-1.4","k","","false","[""d"",""k""]","d","3000","true","1","100","0","0","0","5.7","1","-1","3","600","600","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]","11.066915118055558","0.66","0","circle","black","3","2","2","8.278523489932885","[2,8,8,9,9,8,8,9,9,8,9,8,8,9,8,8,9,8,8,8,8,8,8,8,8,9,8,8,8,8,8,9,8,9,9,8,8,8,8,8,8,8,8,9,8,8,8,9,9,8,9,8,8,8,9,8,9,8,8,8,8,9,8,8,8,8,8,8,8,8,8,9,8,9,8,8,8,8,8,8,8,8,8,8,8,8,9,8,9,8,9,8,8,9,8,8,9,8,8,9,8,9,8,8,9,8,8,9,8,8,9,8,9,8,8,9,8,8,8,8,9,8,8,8,8,9,8,9,8,8,9,8,9,8,8,9,8,8,8,8,8,9,8,8,8,8,9,8,8,8,9,8,8,9,9,9,8,8,8,8,8,9,8,9,8,9,8,8,8,8,8,9,8,9,8,9,8,8,9,8,9,8,9,8,9,8,8,9,8,8,9,8,8,8,9,9,8,8,8,9,8,8,8,8,9,8,9,8,9,7,9,9,8,8,9,8,8,8,8,8,10,7,8,8,8,9,8,9,8,8,8,8,8,9,8,8,8,8,8,9,8,8,9,8,8,8,9,8,8,8,9,8,9,8,8,9,8,9,8,9,8,9,8,9,8,10,7,8,9,8,8,8,8,9,9,8,8,9,8,9,8,8,8,9,8,9,9,8,9,8,8,8,8,8,8,9,8,8]","298","776","400","false","20","20","black","1","false","1","1","1552","970","rdk","d","","","","0.66","0.24",""
"","null","","html-keyboard-response","17","390855","0.0-0.0-2.0-1.0-0.0-0.0-2.4","null","<p style='font-size: 60px; color: red'>错误!</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","null","fixation","html-keyboard-response","18","391356","0.0-0.0-2.0-1.0-0.0-0.0-0.5","null","<p style='font-size: 48px; color: white'>+</p >","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2033","color_pract","rdk","19","393390","0.0-0.0-2.0-1.0-0.0-0.0-1.5","k","","true","[""d"",""k""]","k","3000","true","1","100","0","0","0","5.7","1","-1","3","600","600","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]","[""hsl(225, 50%, 50%)"",""hsl(0, 50%, 50%)""]","11.066915118055558","0.68","0","circle","black","3","2","2","8.274590163934427","[6,9,8,8,9,9,7,9,9,8,9,8,8,8,8,8,8,9,9,8,9,8,8,9,8,8,9,8,8,9,8,8,8,8,8,9,8,8,9,8,8,8,8,9,8,8,9,8,8,9,8,9,9,8,8,8,9,8,9,8,8,9,8,8,8,8,9,8,8,8,9,8,8,9,8,8,9,8,8,8,8,8,9,8,8,8,9,8,9,8,8,8,8,8,8,9,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,9,8,8,8,9,8,8,8,8,9,8,9,8,8,8,9,8,8,9,8,9,7,9,8,9,8,8,9,8,8,9,8,8,8,8,8,8,8,8,9,9,8,8,9,8,8,8,9,8,8,9,9,8,9,8,8,8,8,9,8,9,9,8,8,9,8,9,8,8,8,8,8,8,8,8,8,9,8,8,8,9,8,8,8,9,8,8,8,8,9,8,8,8,8,9,8,8,8,8,9,8,9,8,8,8,9,8,8,9,8,8,8,8,9,8,8,8,8,9,8,8,8,9,8,9,9,8,8,9,9,8,8,9]","244","776","400","false","20","20","black","1","false","1","1","1552","970","rdk","k","","","","0.68","0.24",""
"","null","","html-keyboard-response","20","393893","0.0-0.0-2.0-1.0-0.0-0.0-2.5","null","<p style='font-size: 60px; color: green'>正确!</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","null","fixation","html-keyboard-response","21","394395","0.0-0.0-2.0-1.0-0.0-0.0-0.6","null","<p style='font-size: 48px; color: white'>+</p >","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","903","color_pract","rdk","22","395298","0.0-0.0-2.0-1.0-0.0-0.0-1.6","k","","false","[""d"",""k""]","d","3000","true","1","100","0","0","0","5.7","1","-1","3","600","600","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]","11.066915118055558","0.68","0","circle","black","3","2","2","8.25","[9,9,8,8,8,8,8,9,8,8,8,8,9,8,8,8,9,8,8,8,9,8,8,8,8,8,8,9,8,8,8,8,8,9,8,8,8,8,9,9,8,9,8,8,9,8,9,8,8,8,8,9,8,9,8,8,9,8,8,8,9,8,8,8,8,9,8,8,8,8,8,9,8,8,8,8,8,8,8,8,8,9,8,8,8,9,8,9,8,8,9,8,8,8,8,8,9,8,8,8,8,9,8,8,9,8,8,9]","108","776","400","false","20","20","black","1","false","1","1","1552","970","rdk","d","","","","0.68","0.24",""
"","null","","html-keyboard-response","23","395801","0.0-0.0-2.0-1.0-0.0-0.0-2.6","null","<p style='font-size: 60px; color: red'>错误!</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","null","fixation","html-keyboard-response","24","396301","0.0-0.0-2.0-1.0-0.0-0.0-0.7","null","<p style='font-size: 48px; color: white'>+</p >","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2696","color_pract","rdk","25","399000","0.0-0.0-2.0-1.0-0.0-0.0-1.7","k","","true","[""d"",""k""]","k","3000","true","1","100","0","0","0","5.7","1","-1","3","600","600","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]","[""hsl(225, 50%, 50%)"",""hsl(0, 50%, 50%)""]","11.066915118055558","0.7000000000000001","0","circle","black","3","2","2","8.246913580246913","[3,5,9,8,8,8,9,8,8,8,8,9,8,9,8,9,8,8,8,8,8,8,8,8,8,9,8,9,8,8,8,8,9,8,9,8,8,8,8,8,8,8,9,8,8,8,8,8,8,9,8,9,8,8,8,8,8,9,8,8,8,9,8,8,8,8,8,9,9,8,8,8,8,8,8,8,9,8,8,9,8,8,8,8,9,9,8,9,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,9,8,8,8,9,8,8,9,8,8,9,8,8,9,8,9,8,8,8,8,8,8,8,8,8,8,9,8,8,9,8,8,8,8,8,9,8,8,8,8,9,8,8,8,8,8,8,9,8,8,8,9,8,8,8,9,8,8,8,8,8,8,9,8,8,8,8,8,8,8,8,8,9,8,10,7,8,8,8,8,9,9,9,8,9,8,8,9,9,8,9,8,9,8,9,9,8,9,8,9,8,9,8,9,9,8,8,8,9,8,8,8,10,6,8,9,9,8,9,8,8,9,8,9,8,8,9,8,8,8,9,9,8,9,8,8,8,8,8,9,8,8,9,8,9,9,8,8,8,8,9,9,8,8,8,9,8,8,9,8,8,9,8,9,10,7,8,8,8,8,9,8,8,8,8,8,9,8,9,8,8,9,8,8,9,8,8,8,8,8,9,8,8,9,8,8,8,8,8,8,9,7,8,8,9,8,9,8,8,8,8,9,8,9,9,8,9,8,9]","324","776","400","false","20","20","black","1","false","1","1","1552","970","rdk","k","","","","0.7000000000000001","0.24",""
"","null","","html-keyboard-response","26","399501","0.0-0.0-2.0-1.0-0.0-0.0-2.7","null","<p style='font-size: 60px; color: green'>正确!</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","null","fixation","html-keyboard-response","27","400002","0.0-0.0-2.0-1.0-0.0-0.0-0.8","null","<p style='font-size: 48px; color: white'>+</p >","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1295","color_pract","rdk","28","401298","0.0-0.0-2.0-1.0-0.0-0.0-1.8","k","","true","[""d"",""k""]","k","3000","true","1","100","0","0","0","5.7","1","-1","3","600","600","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]","[""hsl(225, 50%, 50%)"",""hsl(0, 50%, 50%)""]","11.066915118055558","0.7000000000000001","0","circle","black","3","2","2","8.243589743589743","[2,10,7,8,8,8,9,8,9,8,8,8,8,8,9,8,8,9,8,9,9,8,8,9,8,8,9,8,8,9,8,8,8,9,8,8,8,8,8,8,8,9,8,8,9,8,8,8,8,8,9,8,8,8,9,9,8,8,8,9,8,8,8,8,9,8,9,8,8,9,8,8,8,8,9,8,8,8,8,8,8,8,9,8,9,8,9,8,8,8,9,8,8,9,8,8,9,8,8,8,8,9,8,8,9,8,9,8,9,8,9,8,8,9,8,8,8,8,9,8,9,8,9,8,8,8,9,8,8,8,8,9,8,8,8,8,8,8,9,8,8,9,8,8,8,8,8,9,8,9,8,9,9,8,8,8]","156","776","400","false","20","20","black","1","false","1","1","1552","970","rdk","k","","","","0.7000000000000001","0.24",""
"","null","","html-keyboard-response","29","401798","0.0-0.0-2.0-1.0-0.0-0.0-2.8","null","<p style='font-size: 60px; color: green'>正确!</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","null","fixation","html-keyboard-response","30","402300","0.0-0.0-2.0-1.0-0.0-0.0-0.9","null","<p style='font-size: 48px; color: white'>+</p >","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2680","color_pract","rdk","31","404981","0.0-0.0-2.0-1.0-0.0-0.0-1.9","k","","false","[""d"",""k""]","d","3000","true","1","100","0","0","0","5.7","1","-1","3","600","600","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]","11.066915118055558","0.7000000000000001","0","circle","black","3","2","2","8.236024844720497","[3,7,8,8,8,8,8,8,9,8,8,9,8,8,9,8,8,9,8,9,8,9,8,8,8,8,9,8,8,8,9,8,8,8,9,9,8,8,9,8,8,8,8,9,9,8,8,8,9,8,8,8,8,8,8,8,8,9,8,8,8,8,9,8,9,8,9,8,8,8,8,9,8,8,8,8,9,8,9,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,9,8,8,8,9,8,9,8,8,8,8,8,8,9,9,8,8,8,8,9,8,8,8,9,8,8,8,9,8,8,8,8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,8,8,8,9,10,7,8,10,7,8,8,8,9,8,8,9,8,8,9,9,8,8,8,8,8,8,8,8,9,8,8,9,8,8,8,9,8,8,8,8,8,9,8,8,8,8,8,8,8,9,8,8,8,8,8,8,8,8,8,9,8,8,8,8,9,8,8,8,8,9,10,7,9,8,8,8,8,8,8,9,8,8,8,8,9,8,8,9,8,8,9,8,8,8,9,9,9,8,8,8,8,9,9,8,8,9,9,8,8,9,8,9,8,8,8,8,8,8,8,8,9,8,9,8,8,9,8,9,8,8,9,8,9,9,7,8,9,8,8,8,9,8,9,8,8,8,9,9,9,8,9,8,8,8,8,8,8,8,8,9,8,9,8,9,8,8,8,8,8,9,9,8,9]","322","776","400","false","20","20","black","1","false","1","1","1552","970","rdk","d","","","","0.7000000000000001","0.24",""
"","null","","html-keyboard-response","32","405483","0.0-0.0-2.0-1.0-0.0-0.0-2.9","null","<p style='font-size: 60px; color: red'>错误!</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","null","fixation","html-keyboard-response","33","405985","0.0-0.0-2.0-1.0-0.0-0.0-0.10","null","<p style='font-size: 48px; color: white'>+</p >","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1833","color_pract","rdk","34","407819","0.0-0.0-2.0-1.0-0.0-0.0-1.10","k","","true","[""d"",""k""]","k","3000","true","1","100","0","0","0","5.7","1","-1","3","600","600","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]","[""hsl(225, 50%, 50%)"",""hsl(0, 50%, 50%)""]","11.066915118055558","0.7200000000000001","0","circle","black","3","2","2","8.281818181818181","[7,8,8,8,9,8,9,8,8,8,8,9,9,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,9,8,8,9,9,8,8,8,8,8,8,8,8,8,8,8,9,9,8,8,9,8,8,8,8,8,9,8,9,8,9,8,9,8,8,8,8,8,8,8,8,9,8,8,8,8,9,8,9,8,9,9,8,8,8,9,8,9,8,8,8,9,9,8,8,9,8,9,8,8,8,9,8,9,8,8,8,9,8,8,8,9,8,8,9,8,8,8,8,9,8,9,8,8,8,9,8,8,9,8,8,8,9,8,9,9,8,9,8,9,9,8,8,8,8,8,8,8,9,8,8,8,8,9,8,8,8,8,9,8,8,8,9,8,8,8,8,8,9,8,9,9,9,8,8,8,8,8,9,9,8,8,8,9,8,9,8,9,8,8,8,9,8,9,8,9,7,8,8,8,8,8,9,9,9,8,9,8,9,8,9]","220","776","400","false","20","20","black","1","false","1","1","1552","970","rdk","k","","","","0.7200000000000001","0.24",""
"","null","","html-keyboard-response","35","408321","0.0-0.0-2.0-1.0-0.0-0.0-2.10","null","<p style='font-size: 60px; color: green'>正确!</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","null","fixation","html-keyboard-response","36","408822","0.0-0.0-2.0-1.0-0.0-0.0-0.11","null","<p style='font-size: 48px; color: white'>+</p >","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","970","color_pract","rdk","37","409794","0.0-0.0-2.0-1.0-0.0-0.0-1.11","k","","false","[""d"",""k""]","d","3000","true","1","100","0","0","0","5.7","1","-1","3","600","600","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]","11.066915118055558","0.7200000000000001","0","circle","black","3","2","2","8.222222222222221","[2,6,11,6,9,9,8,9,8,8,9,8,9,9,8,8,9,8,8,9,8,8,8,8,8,9,8,8,9,8,8,8,8,8,9,9,8,9,8,8,8,8,9,8,9,8,8,8,8,9,8,8,8,8,8,9,8,8,8,8,8,8,9,8,9,9,8,8,8,8,8,8,9,8,8,8,9,8,9,8,8,8,8,9,8,8,8,9,8,8,8,9,8,8,8,8,8,8,8,9,8,8,9,8,8,9,8,9,8,8,9,9,8,8,9,8,8]","117","776","400","false","20","20","black","1","false","1","1","1552","970","rdk","d","","","","0.7200000000000001","0.24",""
"","null","","html-keyboard-response","38","410295","0.0-0.0-2.0-1.0-0.0-0.0-2.11","null","<p style='font-size: 60px; color: red'>错误!</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","null","fixation","html-keyboard-response","39","410797","0.0-0.0-2.0-1.0-0.0-0.0-0.12","null","<p style='font-size: 48px; color: white'>+</p >","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1755","color_pract","rdk","40","412554","0.0-0.0-2.0-1.0-0.0-0.0-1.12","d","","true","[""d"",""k""]","d","3000","true","1","100","0","0","0","5.7","1","-1","3","600","600","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]","11.066915118055558","0.7400000000000001","0","circle","black","3","2","2","8.19431279620853","[4,4,8,9,8,8,8,9,8,8,9,9,8,9,8,8,8,8,8,8,8,8,9,8,9,9,9,7,8,8,8,8,9,8,8,8,8,9,8,8,8,8,8,9,8,8,8,9,8,8,9,8,9,8,8,8,8,8,9,8,9,8,8,8,8,8,9,8,9,8,8,8,8,9,8,8,8,8,9,8,8,8,9,8,8,8,8,8,8,8,9,8,8,8,8,8,8,8,8,8,9,8,9,8,8,8,8,9,8,8,9,8,9,8,9,8,8,8,8,8,9,8,8,9,8,8,8,8,8,9,8,9,8,8,9,8,8,8,8,8,8,8,9,8,9,8,8,8,8,9,8,8,8,8,8,8,8,9,8,9,8,10,7,8,8,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,9,8,8,8,8,9,8,8,9,8,8,8,9,8,8,9,8,8,8,8,9,8,8,9,8,9,8,8]","211","776","400","false","20","20","black","1","false","1","1","1552","970","rdk","d","","","","0.7400000000000001","0.24",""
"","null","","html-keyboard-response","41","413070","0.0-0.0-2.0-1.0-0.0-0.0-2.12","null","<p style='font-size: 60px; color: green'>正确!</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","null","fixation","html-keyboard-response","42","413572","0.0-0.0-2.0-1.0-0.0-0.0-0.13","null","<p style='font-size: 48px; color: white'>+</p >","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","741","color_pract","rdk","43","414314","0.0-0.0-2.0-1.0-0.0-0.0-1.13","k","","true","[""d"",""k""]","k","3000","true","1","100","0","0","0","5.7","1","-1","3","600","600","[""hsl(0, 50%, 50%)"",""hsl(225, 50%, 50%)""]","[""hsl(225, 50%, 50%)"",""hsl(0, 50%, 50%)""]","11.066915118055558","0.7400000000000001","0","circle","black","3","2","2","8.258426966292134","[2,16,1,8,8,8,8,8,9,8,8,9,8,9,9,8,8,9,8,9,9,8,8,9,8,8,9,8,9,9,8,9,8,9,8,9,8,8,8,8,9,9,8,9,8,8,8,8,8,9,8,8,8,9,8,8,8,8,9,8,8,8,8,8,9,8,8,8,8,8,9,8,8,8,8,9,8,8,9,8,8,9,8,9,8,8,9,8,9]","89","776","400","false","20","20","black","1","false","1","1","1552","970","rdk","k","","","","0.7400000000000001","0.24",""
"","null","","html-keyboard-response","44","414815","0.0-0.0-2.0-1.0-0.0-0.0-2.13","null","<p style='font-size: 60px; color: green'>正确!</p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","null","fixation","html-keyboard-response","45","415316","0.0-0.0-2.0-1.0-0.0-0.0-0.14","null","<p style='font-size: 48px; color: white'>+</p >","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
