"Participant_ID" "judge_type" "difficulty" "coherence" "target_color_proportion" "trial_num"
1 "color" "hard_formal" 0 0.52 5
1 "color" "hard_formal" 0 0.52 6
1 "color" "hard_formal" 0 0.52 7
1 "color" "hard_formal" 0 0.52 8
1 "color" "hard_formal" 0 0.52 9
1 "color" "hard_formal" 0 0.52 10
1 "color" "hard_formal" 0 0.52 11
1 "color" "hard_formal" 0 0.52 12
1 "color" "hard_formal" 0 0.52 13
1 "color" "hard_formal" 0 0.52 14
1 "color" "hard_formal" 0 0.52 15
1 "color" "hard_formal" 0 0.52 16
1 "color" "hard_formal" 0 0.52 17
1 "color" "hard_formal" 0 0.52 18
1 "color" "hard_formal" 0 0.52 19
1 "color" "hard_formal" 0 0.52 20
1 "color" "hard_formal" 0 0.52 21
1 "color" "hard_formal" 0 0.52 22
1 "color" "hard_formal" 0 0.52 23
1 "color" "hard_formal" 0 0.515 24
1 "color" "hard_formal" 0 0.515 25
1 "color" "hard_formal" 0 0.515 26
1 "color" "hard_formal" 0 0.515 27
1 "color" "hard_formal" 0 0.515 28
1 "color" "hard_formal" 0 0.515 29
1 "color" "hard_formal" 0 0.515 30
1 "color" "hard_formal" 0 0.515 31
1 "color" "hard_formal" 0 0.515 32
1 "color" "hard_formal" 0 0.515 33
1 "color" "hard_formal" 0 0.515 34
1 "color" "hard_formal" 0 0.515 35
1 "color" "hard_formal" 0 0.515 36
1 "color" "hard_formal" 0 0.515 37
1 "color" "hard_formal" 0 0.515 38
1 "color" "hard_formal" 0 0.515 39
1 "color" "hard_formal" 0 0.515 40
1 "color" "hard_formal" 0 0.515 41
1 "color" "hard_formal" 0 0.515 42
1 "color" "hard_formal" 0 0.515 43
1 "color" "hard_formal" 0 0.515 44
1 "color" "hard_formal" 0 0.515 45
1 "color" "hard_formal" 0 0.515 46
1 "color" "hard_formal" 0 0.515 47
1 "color" "hard_formal" 0 0.51 48
1 "color" "hard_formal" 0 0.51 49
1 "color" "hard_formal" 0 0.51 50
1 "color" "hard_formal" 0 0.51 51
1 "color" "hard_formal" 0 0.51 52
1 "color" "hard_formal" 0 0.51 53
1 "color" "hard_formal" 0 0.51 54
1 "color" "hard_formal" 0 0.51 55
1 "color" "hard_formal" 0 0.51 56
1 "color" "hard_formal" 0 0.51 57
1 "color" "hard_formal" 0 0.51 58
1 "color" "hard_formal" 0 0.51 59
1 "color" "hard_formal" 0 0.51 60
1 "color" "hard_formal" 0 0.51 61
1 "color" "hard_formal" 0 0.51 62
1 "color" "hard_formal" 0 0.51 63
1 "color" "hard_formal" 0 0.51 64
1 "color" "hard_formal" 0 0.51 65
1 "color" "hard_formal" 0 0.51 66
1 "color" "hard_formal" 0 0.51 67
1 "color" "hard_formal" 0 0.51 68
1 "color" "hard_formal" 0 0.51 69
1 "color" "hard_formal" 0 0.51 70
1 "color" "hard_formal" 0 0.51 71
1 "color" "hard_formal" 0 0.51 72
1 "color" "hard_formal" 0 0.51 73
1 "color" "hard_formal" 0 0.51 74
1 "color" "hard_formal" 0 0.51 75
1 "color" "hard_formal" 0 0.51 76
1 "color" "hard_formal" 0 0.51 77
1 "color" "hard_formal" 0 0.51 78
1 "color" "hard_formal" 0 0.51 79
1 "color" "hard_formal" 0 0.51 80
1 "color" "hard_formal" 0 0.51 81
1 "color" "hard_formal" 0 0.51 82
1 "color" "hard_formal" 0 0.51 83
1 "color" "hard_formal" 0 0.51 84
1 "color" "hard_formal" 0 0.51 85
1 "color" "hard_formal" 0 0.51 86
1 "color" "hard_formal" 0 0.51 87
1 "color" "hard_formal" 0 0.51 88
1 "color" "hard_formal" 0 0.51 89
1 "color" "hard_formal" 0 0.51 90
1 "color" "hard_formal" 0 0.51 91
1 "color" "hard_formal" 0 0.51 92
1 "color" "hard_formal" 0 0.51 93
1 "color" "hard_formal" 0 0.51 94
1 "color" "hard_formal" 0 0.51 95
1 "color" "hard_formal" 0 0.51125 96
1 "color" "hard_formal" 0 0.51125 97
1 "color" "hard_formal" 0 0.51125 98
1 "color" "hard_formal" 0 0.51125 99
1 "color" "hard_formal" 0 0.51125 100
1 "color" "hard_formal" 0 0.51125 101
1 "color" "hard_formal" 0 0.51125 102
1 "color" "hard_formal" 0 0.51125 103
1 "color" "hard_formal" 0 0.51125 104
1 "color" "hard_formal" 0 0.51125 105
1 "color" "hard_formal" 0 0.51125 106
1 "color" "hard_formal" 0 0.51125 107
1 "color" "hard_formal" 0 0.51125 108
1 "color" "hard_formal" 0 0.51125 109
1 "color" "hard_formal" 0 0.51125 110
1 "color" "hard_formal" 0 0.51125 111
1 "color" "hard_formal" 0 0.51125 112
1 "color" "hard_formal" 0 0.51125 113
1 "color" "hard_formal" 0 0.51125 114
1 "color" "hard_formal" 0 0.51125 115
1 "color" "hard_formal" 0 0.51125 116
1 "color" "hard_formal" 0 0.51125 117
1 "color" "hard_formal" 0 0.51125 118
1 "color" "hard_formal" 0 0.51125 119
1 "color" "hard_formal" 0 0.51 120
1 "color" "hard_formal" 0 0.51 121
1 "color" "hard_formal" 0 0.51 122
1 "color" "hard_formal" 0 0.51 123
1 "color" "hard_formal" 0 0.51 124
1 "color" "hard_formal" 0 0.51 125
1 "color" "hard_formal" 0 0.51 126
1 "color" "hard_formal" 0 0.51 127
1 "color" "hard_formal" 0 0.51 128
1 "color" "hard_formal" 0 0.51 129
1 "color" "hard_formal" 0 0.51 130
1 "color" "hard_formal" 0 0.51 131
1 "color" "hard_formal" 0 0.51 132
1 "color" "hard_formal" 0 0.51 133
1 "color" "hard_formal" 0 0.51 134
1 "color" "hard_formal" 0 0.51 135
1 "color" "hard_formal" 0 0.51 136
1 "color" "hard_formal" 0 0.51 137
1 "color" "hard_formal" 0 0.51 138
1 "color" "hard_formal" 0 0.51 139
1 "color" "hard_formal" 0 0.51 140
1 "color" "hard_formal" 0 0.51 141
1 "color" "hard_formal" 0 0.51 142
1 "color" "hard_formal" 0 0.51 143
1 "color" "hard_formal" 0 0.51125 144
1 "color" "hard_formal" 0 0.51125 145
1 "color" "hard_formal" 0 0.51125 146
1 "color" "hard_formal" 0 0.51125 147
1 "color" "hard_formal" 0 0.51125 148
1 "color" "hard_formal" 0 0.51125 149
1 "color" "hard_formal" 0 0.51125 150
